video_id,title,published_at,duration_sec,content_type,content_type_source,url,views_total,likes_total,comments_total,thumbnail_impressions,thumbnail_ctr,views_first2d,views_first7d,views_first28d,first7d_vs_median,win_views,win_minutes_watched,win_avg_view_duration_sec,win_avg_view_pct,win_subs_gained,win_subs_per_1k_views,win_paid_views,win_organic_views,win_shorts_referred_views,win_traffic_total_views,ad_data_status,pct_views_nonsubscriber,ret_10pct,ret_50pct,ret_90pct,relative_retention_avg
Fv8HbB3_MkI,Why We Love Yakuza Kiwami! | Story Edition #Shidatube,2026-09-16T22:00:08Z,2001,VIDEO_ON_DEMAND,heuristic,https://www.youtube.com/watch?v=Fv8HbB3_MkI,2739,55,6,,,2103.0,2697.0,,1.52,2713,2236,162,8.1,2,0.74,0,2713.0,0,2713.0,ok,,0.1523,0.0787,0.0562,0.422
HYX2p_pChso,What does this picture look like to you? #龍が如く,2026-09-15T22:00:29Z,76,SHORTS,heuristic,https://www.youtube.com/watch?v=HYX2p_pChso,852,41,6,,,611.0,802.0,,0.73,834,221,31,41.82,0,0.0,0,834.0,388.0,834.0,ok,,0.7626000000000001,0.35609999999999997,0.2803,0.588
YO7lMaqjy1A,Makeup of A monster from Silent Hill f/サイレントヒルｆの化け物メイク #TGS2026,2026-09-15T03:26:20Z,4726,LIVE_STREAM,heuristic,https://www.youtube.com/watch?v=YO7lMaqjy1A,2070,97,3,,,1722.0,2017.0,,0.95,2066,4923,310,6.570000000000001,1,0.48,0,2066.0,1.0,2066.0,ok,,0.0832,0.0649,0.0487,0.58
gpemsZDlfQg,I Could Cheat and Win… But I’m a Pro Wrestler.【Yakuza Kiwami 3】#Shidatube,2026-09-14T22:00:23Z,67,SHORTS,heuristic,https://www.youtube.com/watch?v=gpemsZDlfQg,1531,37,6,,,1313.0,1475.0,,1.35,1518,201,24,36.11,0,0.0,0,1518.0,1107.0,1518.0,ok,,,,,
sJREVWUsDRY,アイテムを当てろ！10秒お絵描きクイズ【龍が如く極3】#龍が如く,2026-09-13T13:29:50Z,8281,LIVE_STREAM,heuristic,https://www.youtube.com/watch?v=sJREVWUsDRY,1860,88,6,,,1700.0,1806.0,,0.85,1855,5127,436,5.27,1,0.54,0,1854.0,1.0,1854.0,ok,,,,,
Fe5DlqRh6pY,龍が如くの魅力！未プレイのあなたにこそ伝えたい【龍が如く極】,2026-09-12T13:08:30Z,10876,LIVE_STREAM,heuristic,https://www.youtube.com/watch?v=Fe5DlqRh6pY,5829,118,17,,,3878.0,5511.0,,2.61,5765,18740,554,5.09,9,1.56,0,5765.0,2.0,5765.0,ok,,,,,
93CssslGZvc,Say ''KIWAMI'' in the chat and I restricted!/ チャットで「KIWAMI」と言うと志田が困ります！【龍が如く極3】#yakuza,2026-09-12T04:44:35Z,12741,LIVE_STREAM,heuristic,https://www.youtube.com/watch?v=93CssslGZvc,2549,98,4,,,2374.0,2501.0,,1.18,2548,10478,713,5.6,5,1.96,0,2548.0,0,2548.0,ok,,,,,
m7MuBIjW1J0,It was chaos when 2 rival wrestlers played a game together. 【Chained Together】 #SHIDAtube,2026-09-11T22:00:26Z,91,SHORTS,heuristic,https://www.youtube.com/watch?v=m7MuBIjW1J0,1393,125,8,,,982.0,1289.0,,1.18,1377,376,35,38.69,0,0.0,0,1377.0,750.0,1377.0,ok,,,,,
o9lUtQVCB24,AEW Wrestlers play game together!/ AEWレスラーが一緒にゲームします！【Chained Together】,2026-09-11T03:10:20Z,7336,LIVE_STREAM,heuristic,https://www.youtube.com/watch?v=o9lUtQVCB24,5826,259,12,,,5138.0,5572.0,,2.63,5810,17723,391,5.34,14,2.41,0,5810.0,1.0,5810.0,ok,,,,,
aec7VvfhHTc,Wrestler challenges Kazuma Kiryu and Goro Majima!【Yakuza Kiwami 3】 #Shidatube #龍が如く ,2026-09-10T12:00:13Z,1193,VIDEO_ON_DEMAND,heuristic,https://www.youtube.com/watch?v=aec7VvfhHTc,17071,72,12,,,2466.0,8191.0,,4.61,15822,27075,132,11.09,3,0.19,14152.0,1669.0,0,15821.0,ok,,,,,
BcLpOEVh6C0,We all love you✨ #aew,2026-09-10T02:08:48Z,27,SHORTS,heuristic,https://www.youtube.com/watch?v=BcLpOEVh6C0,5569,647,38,,,4107.0,5114.0,,4.67,5518,987,20,77.69,4,0.72,0,5518.0,1216.0,5518.0,ok,,,,,
9sO6n-KgZ5k,Can You Guess This Like a Dragon 8 Karaoke Song?【Question 4】🎤 #Shidatube,2026-09-09T19:14:06Z,77,SHORTS,heuristic,https://www.youtube.com/watch?v=9sO6n-KgZ5k,547,37,3,,,419.0,484.0,,0.44,540,63,24,31.59,0,0.0,0,540.0,317.0,540.0,ok,,,,,
bwaS35fv0Ew,Requests from 1st time viewers are welcom!/ 初見リクエスト大歓迎！【龍が如く】,2026-09-09T05:37:34Z,12631,LIVE_STREAM,heuristic,https://www.youtube.com/watch?v=bwaS35fv0Ew,2257,95,4,,,2098.0,2207.0,,1.04,2255,10249,643,5.1,2,0.89,0,2255.0,0,2255.0,ok,,,,,
fUPQosw2JW0,"Newest vs N64 ver.! There are differences here, too!! 【Star Fox】 #starfox #SHIDAtube",2026-09-08T23:53:21Z,74,SHORTS,heuristic,https://www.youtube.com/watch?v=fUPQosw2JW0,435,41,6,,,293.0,384.0,,0.35,433,101,29,39.75,0,0.0,0,433.0,135.0,433.0,ok,,,,,
vizWEvEJfCY,It's Final! I can't! Too difficult!/ ついに最終回！むりっムズい！！【Star Fox】,2026-09-08T05:52:32Z,13311,LIVE_STREAM,heuristic,https://www.youtube.com/watch?v=vizWEvEJfCY,2150,101,7,,,2038.0,2115.0,,1.0,2148,10124,748,5.62,4,1.86,0,2148.0,0,2148.0,ok,,,,,
ieY3qWWM314,Can You Guess This Like a Dragon 8 Karaoke Song?【Question 3】🎤#Shidatube,2026-09-07T23:06:10Z,77,SHORTS,heuristic,https://www.youtube.com/watch?v=ieY3qWWM314,597,41,5,,,452.0,547.0,,0.5,592,73,20,26,0,0.0,0,592.0,257.0,592.0,ok,,,,,
Mkn1AWEo6Oo,Can You Guess This Like a Dragon 8 Karaoke Song?【Question 2】🎤#Shidatube,2026-09-06T22:00:24Z,80,SHORTS,heuristic,https://www.youtube.com/watch?v=Mkn1AWEo6Oo,1379,46,7,,,1257.0,1344.0,,1.23,1374,108,22,27.66,0,0.0,0,1374.0,1087.0,1374.0,ok,,,,,
FojCezLmHIc,超初心者！優しいアドバイス歓迎！【APEX LEGENDS】,2026-09-06T14:12:02Z,10926,LIVE_STREAM,heuristic,https://www.youtube.com/watch?v=FojCezLmHIc,1824,76,4,,,1683.0,1788.0,,0.85,1819,5030,452,4.14,2,1.1,0,1819.0,0,1819.0,ok,,,,,
AaA8RK9-Pf4,AI recommends withdrawing!? Bastion Ramnant【Minecraft】,2026-09-06T02:45:37Z,591,VIDEO_ON_DEMAND,heuristic,https://www.youtube.com/watch?v=AaA8RK9-Pf4,924,32,8,,,742.0,858.0,,0.48,921,320,86,14.71,0,0.0,0,921.0,0,921.0,ok,,,,,
Gj-LdVgTL74,Your comments give me strength!/ コメントが力になる！【龍が如く7】,2026-09-05T08:30:48Z,26196,LIVE_STREAM,heuristic,https://www.youtube.com/watch?v=Gj-LdVgTL74,3562,119,5,,,1256.0,1416.0,,0.67,3558,23147,975,10.13,3,0.84,0,3558.0,2.0,3558.0,ok,,,,,
MK5YtrPMrWQ,The evolution of the graphics is amazing!【Star Fox】【Star Fox 64】 #StarFox #SHIDAtube,2026-09-04T22:00:33Z,75,SHORTS,heuristic,https://www.youtube.com/watch?v=MK5YtrPMrWQ,627,56,6,,,490.0,594.0,,0.54,626,128,28,37.62,0,0.0,0,626.0,310.0,626.0,ok,,,,,
