snapshot_date,channel_id,channel_label,category,video_id,title,published_at,duration_sec,format_guess,views,likes,comments,url
2026-09-26,UCzuvPtwg5kin3AO1pGNf_5Q,Shidatube,own,Fe5DlqRh6pY,龍が如くの魅力！未プレイのあなたにこそ伝えたい【龍が如く極】,2026-09-12T13:08:30Z,10876,live,5829,118,17,https://www.youtube.com/watch?v=Fe5DlqRh6pY
2026-09-26,UCzuvPtwg5kin3AO1pGNf_5Q,Shidatube,own,93CssslGZvc,Say ''KIWAMI'' in the chat and I restricted!/ チャットで「KIWAMI」と言うと志田が困ります！【龍が如く極3】#yakuza,2026-09-12T04:44:35Z,12741,live,2549,98,4,https://www.youtube.com/watch?v=93CssslGZvc
2026-09-26,UCzuvPtwg5kin3AO1pGNf_5Q,Shidatube,own,m7MuBIjW1J0,It was chaos when 2 rival wrestlers played a game together. 【Chained Together】 #SHIDAtube,2026-09-11T22:00:26Z,91,short,1393,125,8,https://www.youtube.com/watch?v=m7MuBIjW1J0
2026-09-26,UCzuvPtwg5kin3AO1pGNf_5Q,Shidatube,own,o9lUtQVCB24,AEW Wrestlers play game together!/ AEWレスラーが一緒にゲームします！【Chained Together】,2026-09-11T03:10:20Z,7336,live,5826,259,12,https://www.youtube.com/watch?v=o9lUtQVCB24
2026-09-26,UCzuvPtwg5kin3AO1pGNf_5Q,Shidatube,own,aec7VvfhHTc,Wrestler challenges Kazuma Kiryu and Goro Majima!【Yakuza Kiwami 3】 #Shidatube #龍が如く ,2026-09-10T12:00:13Z,1193,long,17071,72,12,https://www.youtube.com/watch?v=aec7VvfhHTc
2026-09-26,UCzuvPtwg5kin3AO1pGNf_5Q,Shidatube,own,BcLpOEVh6C0,We all love you✨ #aew,2026-09-10T02:08:48Z,27,short,5569,647,38,https://www.youtube.com/watch?v=BcLpOEVh6C0
2026-09-26,UCzuvPtwg5kin3AO1pGNf_5Q,Shidatube,own,9sO6n-KgZ5k,Can You Guess This Like a Dragon 8 Karaoke Song?【Question 4】🎤 #Shidatube,2026-09-09T19:14:06Z,77,short,547,37,3,https://www.youtube.com/watch?v=9sO6n-KgZ5k
2026-09-26,UCzuvPtwg5kin3AO1pGNf_5Q,Shidatube,own,bwaS35fv0Ew,Requests from 1st time viewers are welcom!/ 初見リクエスト大歓迎！【龍が如く】,2026-09-09T05:37:34Z,12631,live,2257,95,4,https://www.youtube.com/watch?v=bwaS35fv0Ew
2026-09-26,UCzuvPtwg5kin3AO1pGNf_5Q,Shidatube,own,fUPQosw2JW0,"Newest vs N64 ver.! There are differences here, too!! 【Star Fox】 #starfox #SHIDAtube",2026-09-08T23:53:21Z,74,short,435,41,6,https://www.youtube.com/watch?v=fUPQosw2JW0
2026-09-26,UCzuvPtwg5kin3AO1pGNf_5Q,Shidatube,own,vizWEvEJfCY,It's Final! I can't! Too difficult!/ ついに最終回！むりっムズい！！【Star Fox】,2026-09-08T05:52:32Z,13311,live,2150,101,7,https://www.youtube.com/watch?v=vizWEvEJfCY
2026-09-26,UCzuvPtwg5kin3AO1pGNf_5Q,Shidatube,own,ieY3qWWM314,Can You Guess This Like a Dragon 8 Karaoke Song?【Question 3】🎤#Shidatube,2026-09-07T23:06:10Z,77,short,597,41,5,https://www.youtube.com/watch?v=ieY3qWWM314
2026-09-26,UCzuvPtwg5kin3AO1pGNf_5Q,Shidatube,own,Mkn1AWEo6Oo,Can You Guess This Like a Dragon 8 Karaoke Song?【Question 2】🎤#Shidatube,2026-09-06T22:00:24Z,80,short,1379,46,7,https://www.youtube.com/watch?v=Mkn1AWEo6Oo
2026-09-26,UCzuvPtwg5kin3AO1pGNf_5Q,Shidatube,own,FojCezLmHIc,超初心者！優しいアドバイス歓迎！【APEX LEGENDS】,2026-09-06T14:12:02Z,10926,live,1824,76,4,https://www.youtube.com/watch?v=FojCezLmHIc
2026-09-26,UCzuvPtwg5kin3AO1pGNf_5Q,Shidatube,own,AaA8RK9-Pf4,AI recommends withdrawing!? Bastion Ramnant【Minecraft】,2026-09-06T02:45:37Z,591,mid,924,32,8,https://www.youtube.com/watch?v=AaA8RK9-Pf4
2026-09-26,UCzuvPtwg5kin3AO1pGNf_5Q,Shidatube,own,Gj-LdVgTL74,Your comments give me strength!/ コメントが力になる！【龍が如く7】,2026-09-05T08:30:48Z,26196,live,3562,119,5,https://www.youtube.com/watch?v=Gj-LdVgTL74
2026-09-26,UCzuvPtwg5kin3AO1pGNf_5Q,Shidatube,own,MK5YtrPMrWQ,The evolution of the graphics is amazing!【Star Fox】【Star Fox 64】 #StarFox #SHIDAtube,2026-09-04T22:00:33Z,75,short,627,56,6,https://www.youtube.com/watch?v=MK5YtrPMrWQ
2026-09-26,UCzuvPtwg5kin3AO1pGNf_5Q,Shidatube,own,BUiwu47RH84,Enter the Mid! Blown away by the graphics!/ 中盤突入！グラフィックに感動！【Star Fox】,2026-09-04T05:03:58Z,10531,live,1841,91,6,https://www.youtube.com/watch?v=BUiwu47RH84
2026-09-26,UCzuvPtwg5kin3AO1pGNf_5Q,Shidatube,own,zB61D7qZzdo,Can You Guess This Like a Dragon 8 Karaoke Song? 【Question 1】🎤 #Shidatube,2026-09-03T22:00:33Z,57,short,779,50,5,https://www.youtube.com/watch?v=zB61D7qZzdo
2026-09-26,UCzuvPtwg5kin3AO1pGNf_5Q,Shidatube,own,qfD7S1D5HQQ,Do you know which character is this?? #TGS2026 #SHIDAtube,2026-09-01T22:44:43Z,75,short,325,38,5,https://www.youtube.com/watch?v=qfD7S1D5HQQ
2026-09-26,UCzuvPtwg5kin3AO1pGNf_5Q,Shidatube,own,IeWAaD3ZTXw,Preparing for TGS/ 東京ゲームショウの準備！,2026-09-01T04:11:39Z,7356,live,2258,122,7,https://www.youtube.com/watch?v=IeWAaD3ZTXw
2026-09-26,UCzuvPtwg5kin3AO1pGNf_5Q,Shidatube,own,CEObm9Fv9co,It draws you in…【Japan Stigmatized Property】 #JSP3 #SHIDAtube,2026-08-31T23:00:36Z,71,short,1065,82,9,https://www.youtube.com/watch?v=CEObm9Fv9co
2026-09-26,UCzuvPtwg5kin3AO1pGNf_5Q,Shidatube,own,0MNE_inIGXU,A Pro Wrestler’s Relentless Revenge【Castlevania】#ShidaTube #castlevania,2026-08-31T01:11:28Z,47,short,1454,44,9,https://www.youtube.com/watch?v=0MNE_inIGXU
2026-09-26,UCzuvPtwg5kin3AO1pGNf_5Q,Shidatube,own,Rz6dxno88NY,初の24時間配信で龍が如くを遊び尽くす！,2026-08-29T20:29:56Z,42898,live,5552,155,7,https://www.youtube.com/watch?v=Rz6dxno88NY
2026-09-26,UCzuvPtwg5kin3AO1pGNf_5Q,Shidatube,own,uIV_HWFfVYM,Things You Should Never Say While Watching a Chicken Race【Like a Dragon: Ishin!】,2026-08-28T23:37:14Z,49,short,1129,35,4,https://www.youtube.com/watch?v=uIV_HWFfVYM
2026-09-26,UCzuvPtwg5kin3AO1pGNf_5Q,Shidatube,own,HuwZoWLdSOg,Back and Forth between New & Old!/ 新旧を行ったり来たり！【Star Fox】,2026-08-28T04:36:59Z,8961,live,1891,88,15,https://www.youtube.com/watch?v=HuwZoWLdSOg
2026-09-26,UCzuvPtwg5kin3AO1pGNf_5Q,Shidatube,own,EwPqE-5nLbM,AI that Laughs at P**P...【Minecraft】,2026-08-26T22:00:05Z,481,mid,539,46,16,https://www.youtube.com/watch?v=EwPqE-5nLbM
2026-09-26,UCzuvPtwg5kin3AO1pGNf_5Q,Shidatube,own,7NptBkx71bw,I have a favor tro ask./ お願いがあります。,2026-08-26T04:02:41Z,6556,live,752,93,7,https://www.youtube.com/watch?v=7NptBkx71bw
2026-09-26,UCzuvPtwg5kin3AO1pGNf_5Q,Shidatube,own,BDWpYYEFpFs,東急歌舞伎町タワー×『龍が如く』コラボイベント行ってきた！ #龍が如く #SHIDAtube,2026-08-25T23:00:10Z,84,short,1282,83,9,https://www.youtube.com/watch?v=BDWpYYEFpFs
