video_id,insightTrafficSourceType,views
Fv8HbB3_MkI,PLAYLIST,2.0
Fv8HbB3_MkI,NOTIFICATION,31.0
HYX2p_pChso,NO_LINK_OTHER,0
HYX2p_pChso,SUBSCRIBER,186.0
HYX2p_pChso,YT_CHANNEL,58.0
HYX2p_pChso,YT_SEARCH,94.0
HYX2p_pChso,YT_OTHER_PAGE,13.0
HYX2p_pChso,EXT_URL,45.0
HYX2p_pChso,NOTIFICATION,50.0
HYX2p_pChso,SHORTS,388.0
YO7lMaqjy1A,NO_LINK_OTHER,44.0
YO7lMaqjy1A,SUBSCRIBER,1544.0
YO7lMaqjy1A,YT_CHANNEL,76.0
YO7lMaqjy1A,YT_SEARCH,38.0
YO7lMaqjy1A,RELATED_VIDEO,30.0
YO7lMaqjy1A,YT_OTHER_PAGE,25.0
YO7lMaqjy1A,EXT_URL,254.0
YO7lMaqjy1A,PLAYLIST,3.0
YO7lMaqjy1A,NOTIFICATION,51.0
YO7lMaqjy1A,SHORTS,1.0
gpemsZDlfQg,NO_LINK_OTHER,0
gpemsZDlfQg,SUBSCRIBER,180.0
gpemsZDlfQg,YT_CHANNEL,63.0
gpemsZDlfQg,YT_SEARCH,63.0
gpemsZDlfQg,YT_OTHER_PAGE,16.0
gpemsZDlfQg,EXT_URL,46.0
gpemsZDlfQg,NOTIFICATION,43.0
gpemsZDlfQg,SHORTS,1107.0
sJREVWUsDRY,NO_LINK_OTHER,22.0
sJREVWUsDRY,SUBSCRIBER,1488.0
sJREVWUsDRY,YT_CHANNEL,70.0
sJREVWUsDRY,YT_SEARCH,57.0
sJREVWUsDRY,RELATED_VIDEO,77.0
sJREVWUsDRY,YT_OTHER_PAGE,22.0
sJREVWUsDRY,EXT_URL,70.0
sJREVWUsDRY,NOTIFICATION,44.0
sJREVWUsDRY,SHORTS,1.0
sJREVWUsDRY,SHORTS_CONTENT_LINKS,3.0
Fe5DlqRh6pY,NO_LINK_OTHER,92.0
Fe5DlqRh6pY,SUBSCRIBER,4705.0
Fe5DlqRh6pY,YT_CHANNEL,214.0
Fe5DlqRh6pY,YT_SEARCH,153.0
Fe5DlqRh6pY,RELATED_VIDEO,171.0
Fe5DlqRh6pY,YT_OTHER_PAGE,77.0
Fe5DlqRh6pY,EXT_URL,292.0
Fe5DlqRh6pY,PLAYLIST,4.0
Fe5DlqRh6pY,NOTIFICATION,55.0
Fe5DlqRh6pY,SHORTS,2.0
93CssslGZvc,NO_LINK_OTHER,36.0
93CssslGZvc,SUBSCRIBER,2230.0
93CssslGZvc,YT_CHANNEL,68.0
93CssslGZvc,YT_SEARCH,45.0
93CssslGZvc,RELATED_VIDEO,66.0
93CssslGZvc,YT_OTHER_PAGE,24.0
93CssslGZvc,EXT_URL,7.0
93CssslGZvc,PLAYLIST,7.0
93CssslGZvc,NOTIFICATION,65.0
m7MuBIjW1J0,NO_LINK_OTHER,1.0
m7MuBIjW1J0,SUBSCRIBER,364.0
m7MuBIjW1J0,YT_CHANNEL,79.0
m7MuBIjW1J0,YT_SEARCH,77.0
m7MuBIjW1J0,RELATED_VIDEO,3.0
m7MuBIjW1J0,YT_OTHER_PAGE,50.0
m7MuBIjW1J0,EXT_URL,3.0
m7MuBIjW1J0,NOTIFICATION,50.0
m7MuBIjW1J0,SHORTS,750.0
o9lUtQVCB24,NO_LINK_OTHER,151.0
o9lUtQVCB24,SUBSCRIBER,4702.0
o9lUtQVCB24,YT_CHANNEL,207.0
o9lUtQVCB24,YT_SEARCH,120.0
o9lUtQVCB24,RELATED_VIDEO,110.0
