insightTrafficSourceType,views,estimatedMinutesWatched
SUBSCRIBER,150557,197172
SHORTS,27171,2893
ADVERTISING,14152,25630
YT_CHANNEL,8879,21511
YT_SEARCH,6684,14120
EXT_URL,6583,7783
RELATED_VIDEO,3308,23035
NO_LINK_OTHER,2784,28741
YT_OTHER_PAGE,2157,14677
NOTIFICATION,2154,5344
PLAYLIST,1038,9322
SHORTS_CONTENT_LINKS,59,92
HASHTAGS,23,1
SOUND_PAGE,5,0
LIVE_REDIRECT,5,189
