video,views,estimatedMinutesWatched,averageViewDuration,averageViewPercentage,subscribersGained,likes,comments,shares
ZBMyaXUrOh0,775,109,9,4.74,0,3,0,0
wDY1l7dgqYw,687,221,32,49.04,0,70,7,2
MK5YtrPMrWQ,626,128,28,37.62,0,56,10,2
HuwZoWLdSOg,618,1224,362,4.04,0,19,6,1
ieY3qWWM314,592,73,20,26,0,41,5,1
9sO6n-KgZ5k,540,63,24,31.59,0,37,3,0
wlXMsIVql-c,497,13,8,53.6,0,0,0,0
fUPQosw2JW0,433,101,29,39.75,0,41,6,1
5sS-bHl44-k,326,481,151,11.8,0,6,0,3
qfD7S1D5HQQ,325,91,38,50.96000000000001,0,38,5,1
QdVynSyrIcM,274,48,18,69.95,0,10,0,0
Y9FWCHJXMmQ,267,88,116,15.190000000000001,0,0,0,0
dWer13yL5vY,263,39,21,79.53,0,23,0,0
GOOOkd1Np20,244,73,32,44.02,0,6,0,0
cQ45br1nmbE,235,611,238,3.4799999999999995,0,2,0,0
BDWpYYEFpFs,210,56,29,35.01,0,11,0,0
e3V2mKMi0v8,206,27,16,54.21,0,10,0,1
SMtGC0WN1-Q,201,43,25,76.38,0,10,0,1
EwPqE-5nLbM,199,83,62,13.089999999999998,1,5,0,0
Qkk3TQ02G2c,169,53,40,65.67,0,6,1,0
wSn0V_nScDc,169,580,324,4.7,1,1,0,0
6u4Lubke8wA,148,51,38,43.37,0,7,1,0
h6NGgnN1lVI,141,52,23,16.89,0,-1,0,0
ytzUlPRWlvg,119,168,93,13.94,2,1,0,0
Uy8qspAN1-4,118,12,15,81.12,0,5,0,0
b4fRpOjhps4,100,68,45,19.32,0,-2,0,0
44RhVFmoCBY,98,296,766,5.81,0,1,0,0
_iZ8WKT05n4,96,223,261,3.12,1,-1,0,0
F12iWMn3y4U,86,38,46,24.95,0,-2,0,0
WOsxqc0lHOE,85,24,40,46.58,0,6,1,0
3_x1z9kE0a0,85,24,43,62.63999999999999,0,6,0,0
82zoEnz4-zg,79,42,60,49.64,0,0,0,0
1IxHT6Ik1OA,77,928,723,24.59,0,10,2,0
_xCx6Jz9xFk,74,16,22,47.24,0,1,0,0
7NptBkx71bw,72,171,621,9.47,0,1,0,0
IVb8eCoenvA,70,37,58,32.52,0,1,0,1
XXm1rDhe4cU,69,12,17,52.89,1,0,0,0
UYuNduGKAcg,67,111,272,4.24,0,1,0,0
SfEDo8KcgQM,64,12,18,54.15,0,3,0,0
TTGIga27YOc,60,17,19,8.38,0,0,0,0
8pjiChb-v_k,57,850,927,33.36,0,14,8,0
S7dDVwtwx2E,56,41,61,42.25,0,3,0,0
o5VlC23cB8A,55,769,1098,8.09,0,1,1,0
RegXDUdwC5Q,52,15,19,13.99,0,0,0,0
peoLeDo3AcI,51,23,42,2.02,0,0,0,0
_zhX96GXfqY,49,6,19,0.36,0,0,0,0
60m3e8_maoQ,49,744,1205,10.46,0,0,0,0
Sb4rlh99kXQ,48,6,9,7.449999999999999,0,0,0,0
eN0aAJt0Jb4,47,7,23,41.88,0,4,0,0
SzO7NHpPgXI,47,29,47,13.28,1,0,0,0
NPjr2vsf1vQ,47,10,28,32.93,0,1,0,0
oNr54qhmwKM,46,9,36,47.29,0,2,0,0
bH3ljFsRSYo,46,79,125,15.960000000000003,0,3,0,0
okOV_x3z7VE,45,1221,1666,40.33,0,8,1,0
Ko9Y6Qqdj7U,41,279,578,6.93,0,1,0,0
rfBMtEDZIe4,40,335,627,5.31,0,1,0,0
FhC156SPH5w,40,17,65,42.38,0,3,1,0
LFnDrLhLlsA,40,25,45,7.9399999999999995,2,0,0,0
ocHo_MlfnzQ,39,134,502,4.27,0,0,0,0
ox8sNfzp2qw,38,44,76,12.97,0,3,0,0
S6AxOvHmRRA,38,18,46,8.83,0,0,0,1
X-wI4Tjye4M,35,27,63,5.8,0,0,0,0
L2ghjOALnjc,35,31,67,1.47,0,1,0,0
NYn_KOvN7Kg,35,224,433,4.42,0,2,0,0
f1wZN4HSJp8,34,117,270,24.24,0,1,0,1
ZKrUu2jYSsY,34,213,638,4.53,0,1,0,0
azZwf021KNA,34,46,145,0.8500000000000001,0,0,0,0
vmIq_sZv0p4,33,177,559,2.7,0,0,0,0
C0gl3KtBTHI,33,14,54,40.57,0,4,0,0
HocDsZIXkcA,33,27,98,15.340000000000002,0,0,0,0
4oinOBJMCtw,32,4,28,78.57,0,0,0,0
uvBslvFBgN4,32,19,49,27.02,0,1,0,0
vuhCfdJS-5c,32,13,29,4.18,0,0,0,0
L9TFTxz1_HQ,31,53,132,26.780000000000005,0,0,0,0
03CBKgkQOdU,30,4,24,11.01,1,0,0,0
2y5fw6bp4eM,29,17,60,23.44,0,0,0,0
JQqvmoHffH4,27,19,47,15.130000000000003,0,0,0,0
s4tDxwPNxVA,27,36,173,29.53,0,-1,0,0
wzqnKK9CEW0,27,51,236,1.9,1,1,0,0
NG7rH6Ow6lU,27,113,846,6.88,0,0,0,0
4Tr2C-Ge0P8,26,6,23,5.81,0,0,0,0
WJRE2lN8wY8,26,4,16,43.48,0,0,0,0
nj-_XmLFdhU,26,33,103,7.71,0,0,0,0
Ef5uXB9CTro,26,355,1064,6.819999999999999,0,0,0,0
l0dMzE5vrRo,26,335,1059,10.06,0,0,0,0
3DHx6OdN22M,25,6,19,31.28,0,1,0,0
NuluxUrGR-k,25,16,48,25.670000000000005,0,0,0,0
Y1Xwy3vq-zI,25,17,58,9.56,0,2,0,0
FPGdnCHUKM8,25,4,32,49.37,0,3,0,0
2A45eH49ZTA,24,4,24,26.41,0,0,0,0
oxqPmjFKu0s,24,4035,10527,91.34,0,0,0,0
DXegdjJZGqc,24,127,333,3.83,0,0,1,0
0eAC1cqXHyc,24,6,27,27.58,0,0,0,0
2fZuWYmvgi4,24,670,2681,19.9,0,0,0,0
ZYTBtcsF2Zs,24,77,221,5.09,0,0,0,0
Bw78BuKT27Q,23,4,24,33.07,0,2,0,0
R5cvV1TLZ3A,22,290,829,22.61,0,0,0,0
nNOgqvSzHj4,22,18,55,6.94,0,1,0,0
SDGtxEiPXxo,21,72,431,2.47,0,0,0,0
8wnVvw1z064,21,15,148,1.15,0,0,0,0
ifPwuPxgyhU,21,112,481,15.299999999999999,0,0,0,0
QC9unLt6_tM,21,19,66,12.09,0,0,0,0
4Qosn3u1o_c,21,67,289,2.69,0,0,0,0
FsrXChWbQEA,20,34,158,20.58,0,2,0,0
apyhq8FlMNU,20,25,152,22.31,0,1,0,0
JRCYvAuH6Rk,20,16,52,16.63,0,-1,0,0
LX1nWJjn70I,20,20,82,5.67,0,0,0,0
EnGvtY3SE8A,19,178,563,3.4099999999999997,0,0,0,0
_XK9GH6Np_0,19,1300,4334,14.469999999999999,0,1,0,0
DwgmQzn_D78,19,2,15,0.09,0,-1,0,0
IkWBgj5nDs0,19,18,84,18.86,0,0,0,0
W0ZTcrxMoCg,19,15,78,9.22,0,1,0,0
m4ob4kiRXm8,18,4,18,77.66,0,-1,0,0
grXdpE2vNFo,18,198,1987,16.53,0,0,0,0
jf8-4OYuXNA,18,39,156,2,0,1,1,0
yVtG7nO85ZY,18,30,150,19.02,0,-1,0,0
v0kxcnRJgOE,18,243,975,7.73,0,0,0,0
c4ye28cZsvo,18,405,1350,9.35,0,0,0,0
N87X_nT7MfM,18,17,149,2.51,0,0,0,0
Fzk6MMXIuCw,18,2,12,52.38,0,1,0,0
Dg_hPl3U_Tg,18,24,129,0.9000000000000001,0,0,0,0
5ns5s6oZKZU,18,56,260,1.67,0,0,0,0
Mop-_Fl0swU,18,25,128,1.51,0,0,0,0
nO1woXGWpxA,17,138,753,9.62,0,1,0,0
z0GIG_DxYDI,17,12,104,1.33,0,1,0,0
UGNEP2y7e-k,17,3,29,60.27,0,0,0,0
_VwrK4VWYD0,17,46,187,26.51,0,0,0,0
y0fmpiYCKj0,17,5,33,34.86,0,0,0,0
6rZiIrX4ntU,16,10,69,25.55,0,0,0,0
Sw_sARGFUrw,16,12,65,77.6,0,0,1,0
X21KIj940QE,16,45,208,1.67,0,1,0,0
daC4Vk1JiWA,15,134,619,4.74,0,0,0,0
9ZVIARx1xoo,15,13,136,5.94,0,0,0,0
LVo0TP1YxTY,15,3,22,72.13,0,0,0,0
XZUd2Y7SZ8A,15,266,1452,6.67,0,0,0,0
72fNxKp3nnI,15,4,38,43.2,0,1,0,0
MYL4fmfHjcU,15,9,82,46.55,0,0,0,0
cZUazRw-eY0,15,2,16,74.19,0,1,0,0
T683lEpcom8,15,14,61,22.6,0,0,0,0
DhRw5AumQ-w,14,4,40,43.99,0,0,0,0
i8J29U-f9uE,14,2,28,68.4,0,0,0,0
MvvtRa2xUWI,14,97,449,2.76,0,1,0,0
hi2LHgGkBrY,14,2,54,2.24,0,0,0,2
iv7bqmd5xOo,14,8,54,0.4699999999999999,0,0,0,0
VzFIsHLzGds,14,3,16,0.3,0,0,0,0
bR4WB-77CZY,14,278,1287,7.829999999999999,0,0,0,0
8wblrqxbUtk,14,20,133,1.4,0,0,0,0
8TIuLrYo0fE,14,53,264,8.68,0,0,0,0
iXBuOjxc4Dw,14,2,20,29.03,0,-2,0,0
vDV9UKUsFls,14,8,67,37.94,0,0,0,0
-7ejpIGDsUY,14,1,19,82.07,0,0,0,0
YoMi-H9pgmg,14,336,1440,10.28,0,0,0,0
a_8TPCKsCeQ,13,18,99,1.32,0,1,0,0
3f22aEU-AUQ,13,38,191,2.69,0,0,0,0
mitLwIaEXks,13,56,421,26.85,0,0,0,0
-kdDCdodPM0,13,125,937,25.670000000000005,0,0,0,0
upABhPV3gnQ,13,4,27,22.92,0,-1,0,0
