video,views,estimatedMinutesWatched,averageViewDuration,averageViewPercentage,subscribersGained,likes,comments,shares
Z2_z0HssrQo,89003,68638,113,21.02,284,1468,96,265
aec7VvfhHTc,15822,27075,132,11.09,3,72,14,7
isVEfRLvFiE,11120,37426,406,5.28,23,247,10,17
4HGNcxt7ZaQ,5957,5626,132,23.25,11,198,21,34
o9lUtQVCB24,5810,17723,391,5.34,14,259,13,18
Fe5DlqRh6pY,5765,18740,554,5.09,9,118,19,17
Rz6dxno88NY,5539,28614,691,1.6099999999999999,13,150,8,17
BcLpOEVh6C0,5518,987,20,77.69,4,645,40,13
yyRvOG6BQV4,3703,8552,343,5.25,8,134,4,4
J0iuzSLBRqY,3692,7508,321,4.79,2,116,16,4
Gj-LdVgTL74,3558,23147,975,10.13,3,119,5,7
yCI8ZCJ1Q2I,3372,529,17,71.2,1,246,11,3
Fv8HbB3_MkI,2713,2236,162,8.1,2,55,6,2
BazFwnrnHww,2598,628,28,64.84,3,164,7,4
93CssslGZvc,2548,10478,713,5.6,5,98,4,4
t5OMOC4gqu0,2533,85,14,90.45,0,0,0,0
I9HHJV11umM,2460,101,20,128.83,0,0,0,0
FBhXSruOoHk,2359,341,17,53.29999999999999,0,95,6,1
bwaS35fv0Ew,2255,10249,643,5.1,2,95,4,5
IeWAaD3ZTXw,2254,7582,456,6.2,3,122,7,9
vizWEvEJfCY,2148,10124,748,5.62,4,101,7,5
YO7lMaqjy1A,2066,4923,310,6.570000000000001,1,97,4,4
SsU-7flIg2g,1896,57,12,77.39,0,0,0,0
sJREVWUsDRY,1855,5127,436,5.27,1,88,6,8
BUiwu47RH84,1841,8496,745,7.08,1,91,6,7
FojCezLmHIc,1819,5030,452,4.14,2,76,4,2
-qVGyv02LnY,1771,500,26,52.23,2,104,13,6
gpemsZDlfQg,1518,201,24,36.11,0,36,6,2
0MNE_inIGXU,1450,269,34,73.08,0,44,10,1
m6w5lUOnEfg,1439,47,12,77.37,0,0,0,0
8JMyjpA_BAs,1403,44,14,91.77,0,0,0,0
bN1-YXwOIsk,1378,1138,150,6.570000000000001,0,62,6,4
m7MuBIjW1J0,1377,376,35,38.69,0,124,9,3
Mkn1AWEo6Oo,1374,108,22,27.66,0,46,8,1
lkYUxFZWVCc,1316,48,11,71.89,0,0,0,0
uIV_HWFfVYM,1127,137,16,34.49,0,35,4,1
54JEwNwtxWk,1076,1231,164,27.229999999999997,0,61,10,6
CEObm9Fv9co,1055,249,30,42.66,3,82,9,2
AaA8RK9-Pf4,921,320,86,14.71,0,32,8,3
_IS-WqC1PUU,877,34,10,64.81,0,0,0,0
HYX2p_pChso,834,221,31,41.82,0,41,6,1
OZn2xnHLFfM,814,23,11,71.72,0,0,0,0
zB61D7qZzdo,776,122,26,46.46,0,50,6,1
