ageGroup,gender,viewerPercentage
age13-17,male,0.4
age18-24,female,0.2
age18-24,male,3.4
age25-34,female,2.3
age25-34,male,22.5
age25-34,genderUserSpecified,0
age35-44,female,1.4
age35-44,male,33.7
age45-54,female,0.7
age45-54,male,24.1
age55-64,female,0.5
age55-64,male,7.2
age65-,female,0.7
age65-,male,2.9
