video,views,estimatedMinutesWatched,averageViewDuration,averageViewPercentage,subscribersGained,likes,comments,shares
ocHo_MlfnzQ,34,177,759,6.460000000000001,0,0,0,0
ox8sNfzp2qw,33,38,78,13.23,0,3,0,0
vmIq_sZv0p4,32,173,578,2.79,0,0,0,0
ZKrUu2jYSsY,31,212,638,4.53,0,1,0,0
vuhCfdJS-5c,29,13,30,4.34,0,0,0,0
03CBKgkQOdU,29,4,24,11.05,1,0,0,0
NYn_KOvN7Kg,29,98,226,2.31,0,2,0,0
JQqvmoHffH4,28,19,45,14.67,0,0,0,0
3DHx6OdN22M,28,7,20,32.75,0,1,0,0
4oinOBJMCtw,28,3,24,68.59,0,0,0,0
f1wZN4HSJp8,28,82,248,22.2,0,0,0,1
X-wI4Tjye4M,27,29,79,7.23,0,0,0,0
uvBslvFBgN4,27,16,50,27.35,0,1,0,0
wzqnKK9CEW0,26,46,232,1.87,1,1,0,0
L9TFTxz1_HQ,26,39,124,25.34,0,0,0,0
FPGdnCHUKM8,25,4,32,49.37,0,3,0,0
s4tDxwPNxVA,25,43,185,31.59,0,-1,0,0
2y5fw6bp4eM,24,15,71,27.87,0,0,0,0
4Tr2C-Ge0P8,24,6,24,6.12,0,0,0,0
Bw78BuKT27Q,24,4,22,30.65,0,2,0,0
nj-_XmLFdhU,24,28,93,6.97,0,0,0,0
oxqPmjFKu0s,24,4035,10527,91.34,0,0,0,0
DXegdjJZGqc,24,124,324,3.73,0,0,1,0
Ef5uXB9CTro,23,362,1207,7.73,0,0,0,0
ZYTBtcsF2Zs,23,48,145,3.34,0,0,0,0
l0dMzE5vrRo,22,391,1305,12.4,0,0,0,0
2fZuWYmvgi4,22,670,3093,22.95,0,0,0,0
nNOgqvSzHj4,22,14,45,5.63,0,1,0,0
NuluxUrGR-k,21,13,45,23.94,0,0,0,0
2A45eH49ZTA,21,4,22,25,0,0,0,0
Y1Xwy3vq-zI,21,12,54,9.03,0,2,0,0
8wnVvw1z064,21,15,148,1.15,0,0,0,0
c4ye28cZsvo,21,411,1177,8.15,0,0,0,0
R5cvV1TLZ3A,21,290,870,23.71,0,0,0,0
0eAC1cqXHyc,21,5,28,28.98,0,0,0,0
v0kxcnRJgOE,20,259,914,7.24,0,0,0,0
DwgmQzn_D78,20,2,13,0.08,0,-1,0,0
ifPwuPxgyhU,20,111,515,16.37,0,0,0,0
NG7rH6Ow6lU,19,112,1122,9.13,0,0,0,0
FsrXChWbQEA,19,37,173,22.47,0,2,0,0
5ns5s6oZKZU,19,96,413,2.65,0,0,0,0
4Qosn3u1o_c,19,67,289,2.69,0,0,0,0
LX1nWJjn70I,19,19,82,5.66,0,0,0,0
EnGvtY3SE8A,19,178,563,3.4099999999999997,0,0,0,0
SDGtxEiPXxo,19,19,130,0.74,0,0,0,0
_XK9GH6Np_0,19,1300,4106,13.71,0,2,0,0
UGNEP2y7e-k,19,4,34,69.79,0,0,0,0
QC9unLt6_tM,18,12,49,9.01,0,0,0,0
Mop-_Fl0swU,18,21,109,1.28,0,0,0,0
m4ob4kiRXm8,18,4,18,79.15,0,-1,0,0
DhRw5AumQ-w,18,6,39,43.31,0,0,0,0
cZUazRw-eY0,18,3,16,76.47,0,1,0,0
vDV9UKUsFls,18,17,112,63.3,0,0,0,0
Fzk6MMXIuCw,18,2,13,55.57,0,1,0,0
WJRE2lN8wY8,18,3,18,48.21,0,0,0,0
z0GIG_DxYDI,17,12,91,1.16,0,1,0,0
nO1woXGWpxA,17,139,696,8.89,0,1,0,0
72fNxKp3nnI,17,4,38,43.2,0,1,0,0
MYL4fmfHjcU,17,9,82,46.55,0,0,0,0
W0ZTcrxMoCg,17,20,121,14.26,0,0,0,0
jf8-4OYuXNA,16,39,156,2,0,1,1,0
9ZVIARx1xoo,16,13,136,5.94,0,0,0,0
daC4Vk1JiWA,16,134,575,4.4,0,0,0,0
6rZiIrX4ntU,16,10,77,28.51,0,0,0,0
JRCYvAuH6Rk,16,15,63,20.13,0,-2,0,0
apyhq8FlMNU,16,25,152,22.31,0,1,0,0
N87X_nT7MfM,16,17,173,2.91,0,0,0,0
YoMi-H9pgmg,15,336,1344,9.59,0,0,0,0
iXBuOjxc4Dw,15,2,20,29.03,0,-2,0,0
MvvtRa2xUWI,15,111,478,2.93,0,1,0,0
y0fmpiYCKj0,15,5,33,34.86,0,0,0,0
X21KIj940QE,15,13,70,0.56,0,0,0,0
_VwrK4VWYD0,15,34,159,22.55,0,0,0,0
grXdpE2vNFo,15,198,2376,19.77,0,0,0,0
yVtG7nO85ZY,15,18,108,13.81,0,-1,0,0
8TIuLrYo0fE,15,52,242,7.960000000000001,0,0,0,0
Yy528Eu74nE,14,2,16,44.53,0,0,0,0
zBzvjSRD2bc,14,0,9,17.24,0,0,0,0
Dg_hPl3U_Tg,14,23,174,1.21,0,0,0,0
iv7bqmd5xOo,14,8,54,0.4699999999999999,0,0,0,0
T683lEpcom8,13,13,67,24.9,0,-1,0,0
bR4WB-77CZY,13,278,1287,7.829999999999999,0,0,0,0
JTd2VqZiJfw,13,1,8,79.02,0,0,0,0
Q6POOif5ybM,13,11,63,14.87,0,0,0,0
v0RlzHaaBSc,13,27,180,25.869999999999997,0,0,0,0
a_8TPCKsCeQ,13,18,99,1.32,0,1,0,0
IkWBgj5nDs0,13,17,147,32.89,0,0,0,0
upABhPV3gnQ,13,4,27,22.92,0,-1,0,0
Ki3aef8lGHQ,13,118,548,2.45,0,0,0,0
LVo0TP1YxTY,13,3,22,72.13,0,0,0,0
-7ejpIGDsUY,13,1,19,82.07,0,0,0,0
zrFK3DILZyY,13,1,12,41.67,0,0,0,0
VzFIsHLzGds,13,2,14,0.28,0,0,0,0
csgBLuMZDdA,12,4,21,9.71,0,-1,0,0
hi2LHgGkBrY,12,2,54,2.24,0,0,0,2
_otW9Vv56F8,12,19,99,0.75,0,0,0,0
ptR0wyypGoY,12,119,1021,9.52,0,1,0,0
