country,views,estimatedMinutesWatched
JP,93013,155511
US,50461,123954
EC,10694,347
GB,5033,5540
CA,3019,5461
DE,1051,954
KR,869,531
MX,738,693
PH,670,566
AU,659,740
ID,571,478
FR,546,522
TW,516,326
MY,466,519
IN,394,417
BR,359,833
SG,342,326
IT,327,260
TH,280,203
CL,242,404
HK,157,104
PR,138,179
AR,134,642
ES,127,105
PT,123,206
