insightTrafficSourceDetail,views,estimatedMinutesWatched
hikaru shida,980,2911
志田光,579,4062
龍が如く,508,569
shidatube,252,1208
stranger than heaven,172,78
kenny omega,155,221
japan stigmatized property,114,23
tgs2026,111,13
ケニー・オメガ,75,142
フィットボクシング3,69,12
apex,36,3
kenny omega interview,34,58
jsp3,33,7
japan stigmatized property 3,30,3
kenny omega hikaru shida,28,47
朱里,26,420
tgs,25,8
fit boxing 3,24,3
yakuza,24,7
東京ゲームショウ,21,2
競泳水着女子,21,1
壮麗亜美,19,17
ケニーオメガ,18,25
プロレス,18,4
24時間配信,17,55
